feature,all_cases,alter_cases,all_acc,no_change_acc,change_acc,flip_rate,prompt_rate,sig_right_flip_rate,sig_wrong_flip_rate,right_rate,delete_right_rate
word_ever.csv,25,23,0.88,0.9130434782608695,0.9565217391304348,0.043478260869565216,0.200,1.0,0.0,0.2608695652173913,0.21739130434782608
word_do.csv,199,196,0.8743718592964824,0.8724489795918368,0.8520408163265306,0.08163265306122448,0.221,0.6875,0.3125,0.29591836734693877,0.2653061224489796
ner_383.csv,157,70,0.8662420382165605,0.8428571428571429,0.8285714285714286,0.07142857142857142,,0.6,0.4,0.35714285714285715,0.34285714285714286
word_upset.csv,47,36,0.9148936170212766,0.8888888888888888,0.75,0.19444444444444445,0.106,0.5714285714285714,0.42857142857142855,0.3888888888888889,0.3611111111111111
word_end.csv,22,22,0.8636363636363636,0.8636363636363636,0.9090909090909091,0.045454545454545456,0.182,1.0,0.0,0.8181818181818182,0.7727272727272727
word_wear.csv,18,15,0.7777777777777778,0.8,0.7333333333333333,0.06666666666666667,0.111,1.0,0.0,0.5333333333333333,0.4666666666666667
word_buy.csv,74,59,0.8648648648648649,0.8813559322033898,0.864406779661017,0.01694915254237288,0.149,0.0,1.0,0.5084745762711864,0.5254237288135594
word_lose.csv,21,19,0.6666666666666666,0.631578947368421,0.5789473684210527,0.05263157894736842,0.095,1.0,0.0,0.5789473684210527,0.5263157894736842
word_other.csv,12,12,0.75,0.75,0.75,0.0,0.083,nan,nan,0.5833333333333334,0.5833333333333334
word_man.csv,15,15,0.7333333333333333,0.7333333333333333,0.8,0.06666666666666667,0.133,1.0,0.0,0.4666666666666667,0.4
word_never.csv,96,37,0.8958333333333334,0.918918918918919,0.9459459459459459,0.02702702702702703,0.062,1.0,0.0,0.16216216216216217,0.13513513513513514
word_become.csv,49,43,0.9387755102040817,0.9302325581395349,0.813953488372093,0.11627906976744186,0.204,1.0,0.0,0.6046511627906976,0.4883720930232558
ner_394.csv,11,6,0.9090909090909091,1.0,0.8333333333333334,0.16666666666666666,,1.0,0.0,0.6666666666666666,0.5
